
,,,,,,,,,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Rt,Yds,Y/Rt,TD
1,1966,5,1966-10-16,23-101,BAL,,DET,W 45-14,1,0,0.00,0
2,1966,12,1966-12-04,23-150,BAL,,CHI,W 21-16,1,18,18.00,0
,,,2 Games,,,,,2-0-0,2,18,9.00,0
