
,,,,,,,,,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Sk,Tkl,Ast
1,2006,1,2006-09-10,23-358,CLE,,NOR,L 14-19,,,
2,2006,2,2006-09-17,24-000,CLE,@,CIN,L 17-34,,,
3,2006,3,2006-09-24,24-007,CLE,,BAL,L 14-15,,,
4,2006,7,2006-10-29,24-042,CLE,,NYJ,W 20-13,,,
5,2006,8,2006-11-05,24-049,CLE,@,SDG,L 25-32,,,
6,2006,9,2006-11-12,24-056,CLE,@,ATL,W 17-13,,,
7,2006,13,2006-12-07,24-081,CLE,@,PIT,L 7-27,,,
8,2006,14,2006-12-17,24-091,CLE,@,BAL,L 17-27,,,
9,2006,15,2006-12-24,24-098,CLE,,TAM,L 7-22,,,
10,2006,16,2006-12-31,24-105,CLE,@,HOU,L 6-14,,,
,,,,,,,,,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Sk,Tkl,Ast
11,2008,1,2008-09-04,25-353,WAS,@,NYG,L 7-16,,,
12,2008,2,2008-09-14,25-363,WAS,,NOR,W 29-24,0.0,0,1
,,,12 Games,,,,,3-9-0,0.0,0,1
