
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD
1,2012,12,2012-12-02,26-075,JAX,@,BUF,L 18-34,,,,,,,,
2,2012,13,2012-12-09,26-082,JAX,,NYJ,L 10-17,4,19,4.75,0,0,0,,0
3,2012,14,2012-12-16,26-089,JAX,@,MIA,L 3-24,6,20,3.33,0,1,24,24.00,0
4,2012,15,2012-12-23,26-096,JAX,,NWE,L 16-23,10,29,2.90,0,3,70,23.33,0
5,2012,16,2012-12-30,26-103,JAX,@,TEN,L 20-38,3,24,8.00,0,1,24,24.00,0
,,,5 Games,,,,,0-5-0,23,92,4.00,0,5,118,23.60,0
