
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
1,1966,5,1966-10-09,23-244,ATL,@,WAS,L 20-33,0,0,,0,,0,0,,0,3,59,19.67,0
2,1966,6,1966-10-16,23-251,ATL,,SFO,L 7-44,1,12,12.00,0,,1,16,16.00,0,0,0,,0
3,1966,8,1966-10-30,23-265,ATL,,CLE,L 17-49,0,0,,0,,0,0,,0,1,16,16.00,0
4,1966,9,1966-11-13,23-279,ATL,,BAL,L 7-19,0,0,,0,,0,0,,0,1,18,18.00,0
5,1966,10,1966-11-20,23-286,ATL,@,NYG,W 27-16,0,0,,0,,0,0,,0,1,24,24.00,0
,,,5 Games,,,,,1-4-0,1,12,12.00,0,,1,16,16.00,0,6,117,19.50,0
