
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD
1,1987,1,1987-09-13,22-241,KAN,,SDG,W 20-13,1,0,0.00,0,0,0,,0,2,7,3.50,0
2,1987,2,1987-09-20,22-248,KAN,@,SEA,L 14-43,1,7,7.00,0,0,0,,0,1,1,1.00,0
3,1987,6,1987-10-25,22-283,KAN,@,SDG,L 21-42,0,0,,0,0,0,,0,2,16,8.00,0
4,1987,8,1987-11-08,22-297,KAN,,PIT,L 16-17,0,0,,0,0,0,,0,2,39,19.50,0
5,1987,9,1987-11-15,22-304,KAN,,NYJ,L 9-16,0,0,,0,0,0,,0,1,5,5.00,0
6,1987,10,1987-11-22,22-311,KAN,,GNB,L 3-23,0,0,,0,0,0,,0,6,79,13.17,0
7,1987,11,1987-11-26,22-315,KAN,@,DET,W 27-20,0,0,,0,1,3,3.00,0,2,11,5.50,0
8,1987,12,1987-12-06,22-325,KAN,@,CIN,L 27-30,0,0,,0,0,0,,0,3,4,1.33,0
,,,8 Games,,,,,2-6-0,2,7,3.50,0,1,3,3.00,0,19,162,8.53,0
