
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD
1,1963,1,1963-09-15,22-311,NYG,@,BAL,W 37-28,0,0,,0,1,16,16.00,0
2,1963,4,1963-10-06,22-332,NYG,@,WAS,W 24-14,,,,,3,57,19.00,0
3,1963,5,1963-10-13,22-339,NYG,,CLE,L 24-35,,,,,4,91,22.75,0
4,1963,6,1963-10-20,22-346,NYG,,DAL,W 37-21,0,0,,0,3,88,29.33,0
5,1963,8,1963-11-03,22-360,NYG,@,STL,W 38-21,3,8,2.67,0,0,0,,0
6,1963,9,1963-11-10,23-002,NYG,,PHI,W 42-14,3,7,2.33,0,0,0,,0
7,1963,12,1963-12-01,23-023,NYG,@,DAL,W 34-27,0,0,,0,1,54,54.00,0
8,1963,13,1963-12-08,23-030,NYG,,WAS,W 44-14,5,21,4.20,0,2,26,13.00,0
,,,8 Games,,,,,7-1-0,11,36,3.27,0,14,332,23.71,0
