
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD
1,1960,4,1960-10-02,25-010,BUF,,LAC,L 10-24,0,0,,0,,0,0,,0,2,46,23.00,0,1,2,2.00,0
2,1960,5,1960-10-16,25-024,BUF,,NYT,L 13-17,0,0,,0,,0,0,,0,2,51,25.50,0,0,0,,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD
3,1962,1,1962-09-09,26-352,OAK,,NYT,L 17-28,1,1,1.00,0,,0,0,,0,0,0,,0,1,12,12.00,0
4,1962,2,1962-09-23,27-001,OAK,,DTX,L 16-26,0,0,,0,,0,0,,0,0,0,,0,3,32,10.67,0
5,1962,3,1962-09-30,27-008,OAK,,SDG,L 33-42,0,0,,0,,0,0,,0,0,0,,0,3,16,5.33,0
6,1962,4,1962-10-05,27-013,OAK,@,DEN,L 7-44,0,0,,0,,0,0,,0,1,2,2.00,0,0,0,,0
7,1962,8,1962-11-04,27-043,OAK,@,NYT,L 21-31,0,0,,0,,0,0,,0,1,29,29.00,0,0,0,,0
8,1962,9,1962-11-11,27-050,OAK,,HOU,L 20-28,1,0,0.00,0,,0,0,,0,0,0,,0,2,5,2.50,0
9,1962,10,1962-11-18,27-057,OAK,,BUF,L 6-10,7,17,2.43,0,,4,25,6.25,0,1,34,34.00,0,0,0,,0
10,1962,11,1962-11-25,27-064,OAK,@,DTX,L 7-35,0,0,,0,,1,3,3.00,0,0,0,,0,0,0,,0
11,1962,12,1962-12-02,27-071,OAK,@,SDG,L 21-31,0,0,,0,,1,12,12.00,0,0,0,,0,0,0,,0
12,1962,13,1962-12-09,27-078,OAK,@,HOU,L 17-32,0,0,,0,,1,13,13.00,0,0,0,,0,0,0,,0
,,,12 Games,,,,,0-12-0,9,18,2.00,0,,7,53,7.57,0,7,162,23.14,0,10,67,6.70,0
