
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
1,2001,1,2001-09-09,23-189,JAX,,PIT,W 21-3,,,,,,,,,
2,2001,2,2001-09-23,23-203,JAX,,TEN,W 13-6,1,,,,,,,,
3,2001,3,2001-09-30,23-210,JAX,,CLE,L 14-23,2,1,9,9.00,0,0,0,,0
4,2001,4,2001-10-07,23-217,JAX,@,SEA,L 15-24,,,,,,,,,
5,2001,5,2001-10-18,23-228,JAX,,BUF,L 10-13,,,,,,,,,
6,2001,6,2001-10-28,23-238,JAX,@,BAL,L 17-18,,,,,,,,,
7,2001,7,2001-11-04,23-245,JAX,@,TEN,L 24-28,,,,,,,,,
8,2001,8,2001-11-11,23-252,JAX,,CIN,W 30-13,2,1,7,7.00,0,0,0,,0
9,2001,9,2001-11-18,23-259,JAX,@,PIT,L 7-20,,,,,,,,,
10,2001,10,2001-11-25,23-266,JAX,,BAL,L 21-24,1,,,,,,,,
11,2001,11,2001-12-03,23-274,JAX,,GNB,L 21-28,0,,,,,,,,
12,2001,12,2001-12-09,23-280,JAX,@,CIN,W 14-10,1,1,3,3.00,0,0,0,,0
13,2001,13,2001-12-16,23-287,JAX,@,CLE,W 15-10,1,1,12,12.00,0,0,0,,0
14,2001,14,2001-12-23,23-294,JAX,@,MIN,W 33-3,0,,,,,,,,
15,2001,15,2001-12-30,23-301,JAX,,KAN,L 26-30,0,,,,,,,,
16,2001,16,2002-01-06,23-308,JAX,@,CHI,L 13-33,1,1,5,5.00,0,0,0,,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
17,2002,1,2002-09-08,24-188,JAX,,IND,L 25-28,,,,,,,,,
18,2002,2,2002-09-15,24-195,JAX,@,KAN,W 23-16,,,,,,,,,
19,2002,3,2002-09-29,24-209,JAX,,NYJ,W 28-3,1,,,,,,,,
20,2002,4,2002-10-06,24-216,JAX,,PHI,W 28-25,,,,,,,,,
21,2002,5,2002-10-13,24-223,JAX,@,TEN,L 14-23,,,,,,,,,
22,2002,6,2002-10-20,24-230,JAX,@,BAL,L 10-17,0,0,0,,0,1,11,11.00,0
23,2002,7,2002-10-27,24-237,JAX,,HOU,L 19-21,1,,,,,,,,
24,2002,8,2002-11-03,24-244,JAX,@,NYG,L 17-24,,,,,,,,,
25,2002,9,2002-11-10,24-251,JAX,,WAS,W 26-7,,,,,,,,,
26,2002,10,2002-11-17,24-258,JAX,@,HOU,W 24-21,0,,,,,,,,
27,2002,11,2002-11-24,24-265,JAX,@,DAL,L 19-21,0,0,0,,0,1,9,9.00,0
28,2002,12,2002-12-01,24-272,JAX,,PIT,L 23-25,0,0,0,,0,3,15,5.00,0
29,2002,13,2002-12-08,24-279,JAX,,CLE,L 20-21,1,1,5,5.00,0,0,0,,0
30,2002,14,2002-12-15,24-286,JAX,@,CIN,W 29-15,0,,,,,,,,
,,,30 Games,,,,,12-18-0,12,6,41,6.83,0,5,35,7.00,0
