
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
1,1968,2,1968-09-22,23-123,DEN,@,KAN,L 2-34,2,4,2.00,0,,1,16,16.00,0,1,28,28.00,0
2,1968,6,1968-10-20,23-151,DEN,@,SDG,L 24-55,2,18,9.00,0,,2,19,9.50,0,3,46,15.33,0
,,,2 Games,,,,,0-2-0,4,22,5.50,0,,3,35,11.67,0,4,74,18.50,0
