
,,,,,,,,,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Ret,Yds,Y/R,TD
1,1990,1,1990-09-09,22-275,SDG,@,DAL,L 14-17,4,30,7.50,0
2,1990,2,1990-09-16,22-282,SDG,,CIN,L 16-21,3,0,0.00,0
,,,2 Games,,,,,0-2-0,7,30,4.29,0
