
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,TD,Pts
1,1986,1,1986-09-07,23-211,SFO,@,TAM,W 31-7,0,0,,0,0,0,,0,,
2,1986,2,1986-09-14,23-218,SFO,@,RAM,L 13-16,0,0,,0,0,0,,0,,
3,1986,3,1986-09-21,23-225,SFO,,NOR,W 26-17,3,17,5.67,0,0,0,,0,0,0
4,1986,4,1986-09-28,23-232,SFO,@,MIA,W 31-16,8,25,3.13,0,0,0,,0,0,0
5,1986,5,1986-10-05,23-239,SFO,,IND,W 35-14,0,0,,0,2,29,14.50,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,TD,Pts
6,1987,3,1987-10-05,24-239,SFO,@,NYG,W 41-21,13,65,5.00,1,0,0,,0,1,6
,,,6 Games,,,,,5-1-0,24,107,4.46,1,2,29,14.50,0,1,6
