
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD
1,1977,9,1977-11-13,23-258,HOU,@,OAK,L 29-34,0,0,,0,3,54,18.00,0
2,1977,10,1977-11-20,23-265,HOU,@,SEA,W 22-10,5,15,3.00,0,1,34,34.00,0
3,1977,11,1977-11-27,23-272,HOU,,KAN,W 34-20,1,2,2.00,0,2,36,18.00,0
4,1977,12,1977-12-04,23-279,HOU,,DEN,L 14-24,0,0,,0,2,32,16.00,0
5,1977,14,1977-12-18,23-293,HOU,,CIN,W 21-16,1,3,3.00,0,0,0,,0
,,,5 Games,,,,,3-2-0,7,20,2.86,0,8,156,19.50,0
