
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Int,Yds,TD
1,1976,8,1976-10-31,23-190,ATL,,NOR,W 23-20,1,9,9.00,0,,1,6,6.00,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,0,0,0,0,0
2,1976,9,1976-11-07,23-197,ATL,@,SEA,L 13-30,1,5,5.00,0,,2,7,3.50,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,0,0,0,0,0
3,1976,10,1976-11-14,23-204,ATL,,SFO,W 21-16,10,38,3.80,0,,2,10,5.00,0,0,0,,0,0,0,,,,0,0,,0,1,6,6.00,0,0,0,0,0,0
4,1976,11,1976-11-21,23-211,ATL,,DAL,W 17-10,13,82,6.31,1,,3,19,6.33,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,1,6,0,0,0
5,1976,12,1976-11-28,23-218,ATL,@,HOU,L 14-20,13,81,6.23,0,,2,15,7.50,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,0,0,0,0,0
6,1976,13,1976-12-04,23-224,ATL,@,RAM,L 0-59,13,49,3.77,0,,5,23,4.60,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,0,0,0,0,0
7,1976,14,1976-12-12,23-232,ATL,,GNB,L 20-24,9,53,5.89,1,,2,8,4.00,0,0,1,0.00,0,0,0,39.6,0.00,0.00,1,12,12.00,0,0,0,,0,1,6,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Int,Yds,TD
8,1977,1,1977-09-18,24-147,ATL,,RAM,W 17-6,9,16,1.78,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,0,0,0,0,0
9,1977,2,1977-09-25,24-154,ATL,@,WAS,L 6-10,1,0,0.00,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,0,0,0,0,0
10,1977,4,1977-10-09,24-168,ATL,@,SFO,W 7-0,8,16,2.00,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,0,0,0,0,0
11,1977,6,1977-10-23,24-182,ATL,@,CHI,W 16-10,2,1,0.50,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,0,0,0,0,0
12,1977,10,1977-11-20,24-210,ATL,@,NOR,L 20-21,2,10,5.00,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,0,0,0,0,0
13,1977,11,1977-11-27,24-217,ATL,@,TAM,W 17-0,6,39,6.50,0,,0,0,,0,0,1,0.00,0,0,0,39.6,0.00,0.00,0,0,,0,0,0,,0,0,0,0,0,0
14,1977,14,1977-12-18,24-238,ATL,,NOR,W 35-7,6,19,3.17,0,,1,-1,-1.00,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,0,0,1,55,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Int,Yds,TD
15,1978,4,1978-09-24,25-153,ATL,@,TAM,L 9-14,0,0,,0,,1,3,3.00,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,0,0,0,0,0
16,1978,5,1978-10-01,25-160,ATL,,NYG,W 23-20,5,16,3.20,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,0,0,0,0,0
17,1978,6,1978-10-08,25-167,ATL,@,PIT,L 7-31,0,0,,0,,2,7,3.50,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,0,0,0,0,0
18,1978,10,1978-11-05,25-195,ATL,,SFO,W 21-10,2,5,2.50,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,0,0,0,0,0
,,,18 Games,,,,,10-8-0,101,439,4.35,2,,21,97,4.62,0,0,2,0.00,0,0,0,39.6,0.00,0.00,1,12,12.00,0,1,6,6.00,0,2,12,1,55,0
