
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts
1,1962,1,1962-09-09,27-107,BUF,,HOU,L 23-28,7,22,3.14,0,,1,2,2.00,0,0,0,,0,0,0,,,,1,22,22.00,0,,1,0.0,1,2,50.0,0,3
2,1962,2,1962-09-15,27-113,BUF,,DEN,L 20-23,15,131,8.73,1,,4,48,12.00,1,0,0,,0,0,0,,,,3,76,25.33,0,,,,,2,0.0,2,12
3,1962,3,1962-09-22,27-120,BUF,,NYT,L 6-17,8,25,3.13,0,,3,36,12.00,0,0,0,,0,0,0,,,,2,26,13.00,0,,,,,,,0,0
4,1962,4,1962-09-30,27-128,BUF,@,DTX,L 21-41,8,30,3.75,1,,0,0,,0,0,0,,0,0,0,,,,1,26,26.00,0,,,,,1,0.0,1,6
5,1962,5,1962-10-07,27-135,BUF,@,HOU,L 14-17,15,54,3.60,1,,2,21,10.50,0,0,0,,0,0,0,,,,0,0,,0,,,,,,,1,6
6,1962,6,1962-10-13,27-141,BUF,,SDG,W 35-10,25,124,4.96,1,,2,23,11.50,1,0,0,,0,0,0,,,,0,0,,0,,,,,,,2,12
7,1962,7,1962-10-20,27-148,BUF,,OAK,W 14-6,19,143,7.53,1,,1,7,7.00,0,0,0,,0,0,0,,,,0,0,,0,,,,,,,1,6
8,1962,8,1962-10-28,27-156,BUF,@,DEN,W 45-38,17,89,5.24,2,,2,76,38.00,0,0,0,,0,0,0,,,,0,0,,0,,,,1,2,50.0,2,15
9,1962,9,1962-11-03,27-162,BUF,,BOS,T 28-28,23,107,4.65,2,,1,-5,-5.00,0,0,0,,0,0,0,,,,0,0,,0,4,4,100.0,,2,0.0,2,16
10,1962,10,1962-11-11,27-170,BUF,@,SDG,W 40-20,14,46,3.29,1,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,4,5,80.0,2,2,100.0,1,16
11,1962,11,1962-11-18,27-177,BUF,@,OAK,W 10-6,19,103,5.42,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,1,1,100.0,1,4,25.0,0,4
12,1962,12,1962-11-23,27-182,BUF,@,BOS,L 10-21,8,16,2.00,0,,4,42,10.50,0,0,0,,0,0,0,,,,0,0,,0,1,1,100.0,,,,0,1
13,1962,13,1962-12-02,27-191,BUF,,DTX,W 23-14,19,63,3.32,1,,4,69,17.25,0,0,0,,0,0,0,,,,0,0,,0,2,3,66.7,1,3,33.3,1,11
14,1962,14,1962-12-08,27-197,BUF,@,NYT,W 20-3,17,143,8.41,2,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,2,2,100.0,2,2,100.0,2,20
