
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
1,1974,13,1974-12-08,23-232,HOU,@,DEN,L 14-37,0,0,,0,,1,9,9.00,0,0,0,,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
2,1975,1,1975-09-21,24-154,GNB,,DET,L 16-30,9,36,4.00,0,,2,5,2.50,0,0,0,,0
3,1975,2,1975-09-29,24-162,GNB,@,DEN,L 13-23,4,2,0.50,0,,0,0,,0,0,0,,0
4,1975,3,1975-10-05,24-168,GNB,,MIA,L 7-31,4,18,4.50,0,,0,0,,0,0,0,,0
5,1975,4,1975-10-12,24-175,GNB,@,NOR,L 19-20,13,72,5.54,0,,3,3,1.00,0,0,0,,0
6,1975,7,1975-11-02,24-196,GNB,,MIN,L 17-28,0,0,,0,,0,0,,0,1,26,26.00,0
7,1975,8,1975-11-09,24-203,GNB,@,CHI,L 14-27,0,0,,0,,1,3,3.00,0,0,0,,0
8,1975,10,1975-11-23,24-217,GNB,,NYG,W 40-14,3,11,3.67,0,,0,0,,0,0,0,,0
,,,8 Games,,,,,1-7-0,33,139,4.21,0,,7,20,2.86,0,1,26,26.00,0
