
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1964,1,1964-09-13,24-027,KAN,@,BUF,L 17-34,1,3,3.00,0,,0,0,,0,0,0
2,1964,3,1964-10-04,24-048,KAN,,HOU,W 28-7,3,20,6.67,0,,0,0,,0,0,0
3,1964,4,1964-10-11,24-055,KAN,@,DEN,L 27-33,8,56,7.00,0,,2,16,8.00,0,0,0
4,1964,5,1964-10-18,24-062,KAN,,BUF,L 22-35,10,79,7.90,1,,0,0,,0,1,6
5,1964,6,1964-10-23,24-067,KAN,@,BOS,L 7-24,11,23,2.09,0,,3,15,5.00,1,1,6
6,1964,7,1964-11-01,24-076,KAN,,DEN,W 49-39,4,41,10.25,0,,1,34,34.00,0,0,0
7,1964,8,1964-11-08,24-083,KAN,,OAK,W 42-7,11,55,5.00,1,,1,18,18.00,1,2,12
8,1964,9,1964-11-15,24-090,KAN,,SDG,L 14-28,8,36,4.50,0,,3,29,9.67,0,0,0
9,1964,10,1964-11-22,24-097,KAN,@,HOU,W 28-19,8,31,3.88,1,,4,16,4.00,0,1,6
10,1964,11,1964-11-29,24-104,KAN,@,NYJ,L 14-27,1,15,15.00,0,,0,0,,0,0,0
11,1964,12,1964-12-06,24-111,KAN,,BOS,L 24-31,9,90,10.00,1,,1,-7,-7.00,0,1,6
12,1964,13,1964-12-13,24-118,KAN,@,SDG,W 49-6,20,92,4.60,0,,2,19,9.50,0,0,0
13,1964,14,1964-12-20,24-125,KAN,,NYJ,W 24-7,10,35,3.50,0,,2,4,2.00,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
14,1965,1,1965-09-12,25-026,KAN,@,OAK,L 10-37,7,29,4.14,0,,0,0,,0,0,0
15,1965,2,1965-09-18,25-032,KAN,@,NYJ,W 14-10,13,65,5.00,0,,1,7,7.00,0,0,0
16,1965,3,1965-09-26,25-040,KAN,@,SDG,T 10-10,9,15,1.67,0,,1,11,11.00,0,0,0
17,1965,4,1965-10-03,25-047,KAN,,BOS,W 27-17,4,21,5.25,0,,1,6,6.00,0,0,0
18,1965,5,1965-10-10,25-054,KAN,@,DEN,W 31-23,6,6,1.00,0,,0,0,,0,0,0
19,1965,6,1965-10-17,25-061,KAN,,BUF,L 7-23,8,36,4.50,0,,3,21,7.00,0,0,0
20,1965,7,1965-10-24,25-068,KAN,@,HOU,L 36-38,17,130,7.65,1,,2,21,10.50,0,1,6
21,1965,8,1965-10-31,25-075,KAN,,OAK,W 14-7,17,74,4.35,0,,0,0,,0,0,0
22,1965,9,1965-11-07,25-082,KAN,,NYJ,L 10-13,7,25,3.57,0,,2,45,22.50,0,0,0
23,1965,10,1965-11-14,25-089,KAN,,SDG,W 31-7,11,76,6.91,0,,4,57,14.25,1,1,6
24,1965,11,1965-11-21,25-096,KAN,@,BOS,T 10-10,9,39,4.33,0,,1,12,12.00,0,0,0
25,1965,12,1965-11-28,25-103,KAN,,HOU,W 52-21,9,89,9.89,1,,2,45,22.50,0,1,6
26,1965,13,1965-12-12,25-117,KAN,@,BUF,L 25-34,8,22,2.75,0,,4,39,9.75,0,0,0
,,,26 Games,,,,,12-12-2,229,1203,5.25,6,,40,408,10.20,3,9,54
