
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD
1,1987,4,1987-10-11,23-026,GNB,,DET,L 16-19,0,0,,0,1,0,0.00,0
2,1987,5,1987-10-18,23-033,GNB,,PHI,W 16-10,5,20,4.00,0,0,0,,0
,,,2 Games,,,,,1-1-0,5,20,4.00,0,1,0,0.00,0
