
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD
1,1967,1,1967-09-17,22-058,MIN,,SFO,L 21-27,0,0,,0,1,18,18.00,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD
2,1968,1,1968-09-14,23-055,MIN,,ATL,W 47-7,2,9,4.50,0,0,0,,0
3,1968,3,1968-09-29,23-070,MIN,,CHI,L 17-27,0,0,,0,1,0,0.00,0
4,1968,12,1968-12-01,23-133,MIN,,RAM,L 3-31,0,0,,0,1,9,9.00,0
5,1968,14,1968-12-15,23-147,MIN,@,PHI,W 24-17,0,0,,0,1,10,10.00,0
,,,5 Games,,,,,2-3-0,2,9,4.50,0,4,37,9.25,0
