
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
1,1982,1,1982-09-12,22-006,MIA,@,NYJ,W 45-28,1,4,4.00,0,,0,0,,0,0,0,,0
2,1982,2,1982-09-19,22-013,MIA,,BAL,W 24-20,0,0,,0,,0,0,,0,0,0,,0
3,1982,3,1982-11-21,22-076,MIA,@,BUF,W 9-7,0,0,,0,,0,0,,0,0,0,,0
4,1982,4,1982-11-29,22-084,MIA,@,TAM,L 17-23,0,0,,0,,2,21,10.50,0,0,0,,0
5,1982,5,1982-12-05,22-090,MIA,,MIN,W 22-14,0,0,,0,,0,0,,0,1,15,15.00,0
6,1982,6,1982-12-12,22-097,MIA,@,NWE,L 0-3,0,0,,0,,0,0,,0,0,0,,0
7,1982,7,1982-12-18,22-103,MIA,,NYJ,W 20-19,0,0,,0,,0,0,,0,0,0,,0
8,1982,8,1982-12-27,22-112,MIA,,BUF,W 27-10,4,21,5.25,0,,0,0,,0,0,0,,0
9,1982,9,1983-01-02,22-118,MIA,@,BAL,W 34-7,3,6,2.00,0,,0,0,,0,0,0,,0
,,,9 Games,,,,,7-2-0,8,31,3.88,0,,2,21,10.50,0,1,15,15.00,0
