
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Tkl,Ast
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Tkl,Ast
16,2003,1,2003-09-07,23-350,BAL,@,PIT,L 15-34,1,-1,-1.00,0,4,3,10,3.33,0,0,0,,0,0,0,,,,5,116,23.20,0,0,0,0.0,0,0
17,2003,2,2003-09-14,23-357,BAL,,CLE,W 33-13,5,8,1.60,0,1,1,3,3.00,0,0,0,,0,0,0,,,,1,23,23.00,0,0,0,0.0,0,0
18,2003,3,2003-09-21,23-364,BAL,@,SDG,W 24-10,3,12,4.00,0,0,0,0,,0,0,0,,0,0,0,,,,2,39,19.50,0,0,0,0.0,0,0
19,2003,4,2003-09-28,24-006,BAL,,KAN,L 10-17,5,47,9.40,0,2,1,8,8.00,0,0,0,,0,0,0,,,,2,41,20.50,0,0,0,0.0,0,0
20,2003,5,2003-10-12,24-020,BAL,@,ARI,W 26-18,10,45,4.50,0,3,3,25,8.33,0,0,0,,0,0,0,,,,1,16,16.00,0,0,0,0.0,0,0
21,2003,6,2003-10-19,24-027,BAL,@,CIN,L 26-34,5,10,2.00,1,0,0,0,,0,0,0,,0,0,0,,,,5,101,20.20,0,1,6,0.0,0,0
22,2003,7,2003-10-26,24-034,BAL,,DEN,W 26-6,2,6,3.00,0,2,2,10,5.00,0,0,0,,0,0,0,,,,2,31,15.50,0,0,0,0.0,0,0
23,2003,8,2003-11-02,24-041,BAL,,JAX,W 24-17,2,33,16.50,1,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,1,6,0.0,0,0
24,2003,9,2003-11-09,24-048,BAL,@,STL,L 22-33,4,18,4.50,0,3,3,10,3.33,0,0,0,,0,0,0,,,,0,0,,0,0,0,0.0,0,0
25,2003,10,2003-11-16,24-055,BAL,@,MIA,L 6-9,4,19,4.75,0,5,3,24,8.00,0,0,0,,0,0,0,,,,0,0,,0,0,0,0.0,0,0
26,2003,11,2003-11-23,24-062,BAL,,SEA,W 44-41,3,-1,-0.33,0,1,0,0,,0,0,0,,0,0,0,,,,1,16,16.00,0,0,0,0.0,0,0
27,2003,12,2003-11-30,24-069,BAL,,SFO,W 44-6,1,-1,-1.00,0,2,1,13,13.00,0,0,0,,0,0,0,,,,0,0,,0,0,0,0.0,0,0
