
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD
1,1987,8,1987-11-08,23-118,ATL,@,CLE,L 3-38,,1,10,10.00,0,1,5,5.00,0,6,120,20.00,0
2,1987,9,1987-11-15,23-125,ATL,,CIN,L 10-16,,0,0,,0,0,0,,0,5,80,16.00,0
3,1987,10,1987-11-22,23-132,ATL,@,MIN,L 13-24,,1,-3,-3.00,0,0,0,,0,3,69,23.00,0
4,1987,11,1987-11-29,23-139,ATL,,STL,L 21-34,,1,6,6.00,0,0,0,,0,4,116,29.00,0
5,1987,12,1987-12-06,23-146,ATL,@,DAL,W 21-10,,2,18,9.00,0,0,0,,0,3,55,18.33,0
,,,5 Games,,,,,1-4-0,,5,31,6.20,0,1,5,5.00,0,21,440,20.95,0
