
,,,,,,,,,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Sk,Tkl,Ast,Int,Yds,TD
1,2010,1,2010-09-12,23-359,OAK,@,TEN,L 13-38,,,,,,
2,2010,2,2010-09-19,24-001,OAK,,STL,W 16-14,,,,,,
3,2010,3,2010-09-26,24-008,OAK,@,ARI,L 23-24,,,,,,
4,2010,6,2010-10-17,24-029,OAK,@,SFO,L 9-17,,,,,,
5,2010,8,2010-10-31,24-043,OAK,,SEA,W 33-3,0.0,1,0,0,0,0
6,2010,9,2010-11-07,24-050,OAK,,KAN,W 23-20,0.0,0,0,1,0,0
7,2010,10,2010-11-21,24-064,OAK,@,PIT,L 3-35,,,,,,
8,2010,12,2010-12-05,24-078,OAK,@,SDG,W 28-13,,,,,,
,,,8 Games,,,,,4-4-0,0.0,1,0,1,0,0
