
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD
1,2005,15,2005-12-24,24-277,PHI,@,ARI,L 21-27,1,4,4.00,0,6,190,31.67,0
2,2005,16,2006-01-01,24-285,PHI,,WAS,L 20-31,15,70,4.67,0,4,83,20.75,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD
3,2006,1,2006-09-10,25-172,PHI,@,HOU,W 24-10,0,0,,0,3,57,19.00,0
4,2006,14,2006-12-17,25-270,PHI,@,NYG,W 36-22,0,0,,0,0,0,,0
5,2006,15,2006-12-25,25-278,PHI,@,DAL,W 23-7,0,0,,0,0,0,,0
,,,5 Games,,,,,3-2-0,16,74,4.63,0,13,330,25.38,0
