
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD
1,2006,4,2006-10-01,25-364,SEA,@,CHI,L 6-37,3,8,2.67,0,0,0,,0
2,2006,5,2006-10-15,26-013,SEA,@,STL,W 30-28,0,0,,0,0,0,,0
3,2006,6,2006-10-22,26-020,SEA,,MIN,L 13-31,0,0,,0,0,0,,0
4,2006,7,2006-10-29,26-027,SEA,@,KAN,L 28-35,0,0,,0,0,0,,0
5,2006,8,2006-11-06,26-035,SEA,,OAK,W 16-0,0,0,,0,0,0,,0
6,2006,9,2006-11-12,26-041,SEA,,STL,W 24-22,0,0,,0,0,0,,0
7,2006,13,2006-12-10,26-069,SEA,@,ARI,L 21-27,0,0,,0,0,0,,0
8,2006,14,2006-12-14,26-073,SEA,,SFO,L 14-24,0,0,,0,1,3,3.00,0
9,2006,15,2006-12-24,26-083,SEA,,SDG,L 17-20,0,0,,0,0,0,,0
10,2006,16,2006-12-31,26-090,SEA,@,TAM,W 23-7,0,0,,0,0,0,,0
,,,10 Games,,,,,4-6-0,3,8,2.67,0,1,3,3.00,0
