
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD
1,1987,3,1987-10-04,24-125,KAN,@,RAI,L 17-35,8,39,4.88,0,,0,0,,0
2,1987,4,1987-10-11,24-132,KAN,@,MIA,L 0-42,5,19,3.80,0,,2,21,10.50,0
3,1987,5,1987-10-18,24-139,KAN,,DEN,L 17-26,13,56,4.31,0,,0,0,,0
,,,3 Games,,,,,0-3-0,26,114,4.38,0,,2,21,10.50,0
