
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
1,1963,6,1963-10-13,22-239,HOU,@,DEN,W 33-24,10,35,3.50,1,,2,41,20.50,1,0,0,,0,2,12
2,1963,7,1963-10-20,22-246,HOU,,BUF,W 28-14,9,33,3.67,0,,0,0,,0,1,10,10.00,0,0,0
3,1963,8,1963-10-27,22-253,HOU,,KAN,W 28-7,10,27,2.70,0,,3,40,13.33,0,0,0,,0,0,0
4,1963,10,1963-11-10,22-267,HOU,,NYJ,W 31-27,18,77,4.28,3,,2,20,10.00,0,0,0,,0,3,18
5,1963,11,1963-12-01,22-288,HOU,@,SDG,L 0-27,8,28,3.50,0,,2,19,9.50,0,0,0,,0,0,0
6,1963,12,1963-12-08,22-295,HOU,,BOS,L 28-46,10,33,3.30,0,,3,39,13.00,0,0,0,,0,0,0
7,1963,13,1963-12-15,22-302,HOU,,SDG,L 14-20,5,13,2.60,0,,0,0,,0,0,0,,0,0,0
8,1963,14,1963-12-22,22-309,HOU,@,OAK,L 49-52,5,25,5.00,0,,1,14,14.00,0,0,0,,0,0,0
,,,8 Games,,,,,4-4-0,75,271,3.61,4,,13,173,13.31,1,1,10,10.00,0,5,30
