
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts
1,1960,1,1960-09-11,25-182,NYT,,BUF,W 27-3,0,0,,0,,0,0,,0,0,0,,0,2,17,8.50,0,0,0
2,1960,2,1960-09-17,25-188,NYT,,BOS,L 24-28,1,9,9.00,0,,0,0,,0,2,38,19.00,0,0,0,,0,0,0
3,1960,3,1960-09-23,25-194,NYT,,DEN,W 28-24,0,0,,0,,0,0,,0,2,97,48.50,1,1,4,4.00,0,1,6
4,1960,4,1960-10-02,25-203,NYT,@,DTX,W 37-35,0,0,,0,,0,0,,0,3,101,33.67,0,1,4,4.00,0,0,0
5,1960,5,1960-10-09,25-210,NYT,@,HOU,L 21-27,0,0,,0,,0,0,,0,0,0,,0,1,15,15.00,0,0,0
6,1960,6,1960-10-16,25-217,NYT,@,BUF,W 17-13,0,0,,0,,1,2,2.00,0,3,104,34.67,0,0,0,,0,0,0
7,1960,7,1960-10-23,25-224,NYT,,HOU,L 28-42,0,0,,0,,0,0,,0,2,61,30.50,0,2,11,5.50,0,0,0
8,1960,8,1960-10-28,25-229,NYT,,OAK,L 27-28,0,0,,0,,0,0,,0,3,129,43.00,1,1,14,14.00,0,1,6
9,1960,9,1960-11-04,25-236,NYT,,LAC,L 7-21,2,18,9.00,0,,0,0,,0,1,31,31.00,0,1,21,21.00,0,0,0
10,1960,10,1960-11-11,25-243,NYT,@,BOS,L 21-38,0,0,,0,,0,0,,0,1,17,17.00,0,1,5,5.00,0,0,0
11,1960,11,1960-11-24,25-256,NYT,,DTX,W 41-35,1,2,2.00,0,,1,8,8.00,0,5,118,23.60,0,1,2,2.00,0,0,0
12,1960,12,1960-12-04,25-266,NYT,@,DEN,W 30-27,0,0,,0,,0,0,,0,1,22,22.00,0,0,0,,0,0,0
13,1960,13,1960-12-11,25-273,NYT,@,OAK,W 31-28,0,0,,0,,1,-2,-2.00,0,1,25,25.00,0,0,0,,0,0,0
14,1960,14,1960-12-18,25-280,NYT,@,LAC,L 43-50,12,90,7.50,1,,0,0,,0,6,119,19.83,0,1,0,0.00,0,1,6
,,,14 Games,,,,,7-7-0,16,119,7.44,1,,3,8,2.67,0,30,862,28.73,2,12,93,7.75,0,3,18
