
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD
1,1987,1,1987-09-13,23-270,ATL,@,TAM,L 10-48,0,0,,0,0,0,,0
2,1987,2,1987-09-20,23-277,ATL,,WAS,W 21-20,1,-2,-2.00,0,0,0,,0
3,1987,6,1987-10-25,23-312,ATL,@,HOU,L 33-37,0,0,,0,1,21,21.00,0
4,1987,7,1987-11-01,23-319,ATL,,NOR,L 0-38,0,0,,0,0,0,,0
,,,4 Games,,,,,1-3-0,1,-2,-2.00,0,1,21,21.00,0
