
,,,,,,,,
Rk,Year,G#,Date,Age,Tm,,Opp,Result
1,2002,15,2002-12-22,23-011,KAN,,SDG,W 24-22
2,2002,16,2002-12-28,23-017,KAN,@,OAK,L 0-24
,,,2 Games,,,,,1-1-0
