
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Int,Yds,TD
1,1987,3,1987-10-04,22-093,TAM,@,DET,W 31-27,7,16,2.29,0,0,0,,0,0,0,0
2,1987,4,1987-10-11,22-100,TAM,,SDG,L 13-17,2,4,2.00,0,0,0,,0,0,0,0
3,1987,5,1987-10-18,22-107,TAM,,MIN,W 20-10,0,0,,0,,,,,,,
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Int,Yds,TD
4,1992,2,1992-09-13,27-072,RAI,@,CIN,L 21-24,0,0,,0,2,27,13.50,0,0,0,0
5,1992,13,1992-12-06,27-156,RAI,,KAN,W 28-7,0,0,,0,0,0,,0,1,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Int,Yds,TD
6,1997,10,1997-11-09,32-129,OAK,,NOR,L 10-13,0,0,,0,0,0,,0,1,13,0
,,,6 Games,,,,,3-3-0,9,20,2.22,0,2,27,13.50,0,2,13,0
