
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts
47,1995,15,1995-12-17,25-325,NYJ,@,HOU,L 6-23,11,15,1.36,0,1,1,0,0.00,0,0,0,,0,0,0,,,,1,19,19.00,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts
48,1996,1,1996-09-01,26-219,NYJ,@,DEN,L 6-31,0,0,,0,,,,,,,,,,,,,,,0,0,,0,,
49,1996,2,1996-09-08,26-226,NYJ,,IND,L 7-21,0,0,,0,0,0,0,,0,0,0,,0,0,0,,,,2,46,23.00,0,0,0
50,1996,3,1996-09-15,26-233,NYJ,@,MIA,L 27-36,0,0,,0,,,,,,,,,,,,,,,0,0,,0,,
51,1996,4,1996-09-22,26-240,NYJ,,NYG,L 6-13,0,0,,0,,,,,,,,,,,,,,,0,0,,0,,
52,1996,5,1996-09-29,26-247,NYJ,@,WAS,L 16-31,0,0,,0,0,0,0,,0,0,0,,0,0,0,,,,4,58,14.50,0,0,0
53,1996,6,1996-10-06,26-254,NYJ,,OAK,L 13-34,1,1,1.00,0,0,0,0,,0,0,0,,0,0,0,,,,1,13,13.00,0,0,0
54,1996,7,1996-10-13,26-261,NYJ,@,JAX,L 17-21,0,0,,0,0,,,,,,,,,,,,,,0,0,,0,,
55,1996,8,1996-10-20,26-268,NYJ,,BUF,L 22-25,0,0,,0,0,0,0,,0,0,0,,0,0,0,,,,1,1,1.00,0,0,0
56,1996,9,1996-10-27,26-275,NYJ,@,ARI,W 31-21,0,0,,0,,,,,,,,,,,,,,,0,0,,0,,
57,1996,10,1996-11-10,26-289,NYJ,,NWE,L 27-31,0,0,,0,,,,,,,,,,,,,,,0,0,,0,,
58,1996,11,1996-11-17,26-296,NYJ,@,IND,L 29-34,0,0,,0,,,,,,,,,,,,,,,0,0,,0,,
59,1996,12,1996-11-24,26-303,NYJ,@,BUF,L 10-35,0,0,,0,,,,,,,,,,,,,,,0,0,,0,,
60,1996,13,1996-12-01,26-310,NYJ,,HOU,L 10-35,0,0,,0,,,,,,,,,,,,,,,0,0,,0,,
61,1996,14,1996-12-08,26-317,NYJ,@,NWE,L 10-34,0,0,,0,,,,,,,,,,,,,,,0,0,,0,,
