
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
1,1960,3,1960-10-09,24-208,CHI,,RAM,W 34-27,2,8,4.00,0,,0,0,,0,0,0,,0
2,1960,4,1960-10-16,24-215,CHI,,SFO,W 27-10,1,3,3.00,0,,1,2,2.00,0,0,0,,0
3,1960,5,1960-10-23,24-222,CHI,@,RAM,T 24-24,2,-1,-0.50,0,,1,9,9.00,0,0,0,,0
4,1960,9,1960-11-27,24-257,CHI,,DAL,W 17-7,1,28,28.00,0,,0,0,,0,0,0,,0
5,1960,11,1960-12-11,24-271,CHI,@,CLE,L 0-42,5,44,8.80,0,,0,0,,0,0,0,,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
6,1961,4,1961-10-08,25-207,DAL,@,MIN,W 28-0,3,12,4.00,0,,0,0,,0,0,0,,0
7,1961,5,1961-10-15,25-214,DAL,,NYG,L 10-31,2,12,6.00,0,,1,-2,-2.00,0,0,0,,0
8,1961,9,1961-11-12,25-242,DAL,@,PIT,L 7-37,0,0,,0,,0,0,,0,1,12,12.00,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
9,1962,3,1962-09-30,26-199,PHI,,CLE,W 35-7,1,2,2.00,0,,0,0,,0,0,0,,0
10,1962,4,1962-10-06,26-205,PHI,@,PIT,L 7-13,0,0,,0,,0,0,,0,1,17,17.00,0
11,1962,5,1962-10-14,26-213,PHI,@,DAL,L 19-41,1,-1,-1.00,0,,0,0,,0,2,39,19.50,0
12,1962,12,1962-12-02,26-262,PHI,@,WAS,W 37-14,2,6,3.00,0,,0,0,,0,2,63,31.50,0
13,1962,13,1962-12-09,26-269,PHI,,PIT,L 17-26,0,0,,0,,0,0,,0,1,17,17.00,0
,,,13 Games,,,,,6-6-1,20,113,5.65,0,,3,9,3.00,0,7,148,21.14,0
