
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD
1,1973,3,1973-09-30,24-061,STL,@,DAL,L 10-45,,4,39,9.75,0,4,11,2.75,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0
2,1973,4,1973-10-07,24-068,STL,,OAK,L 10-17,,0,0,,0,0,0,,0,0,0,,0,0,0,,,,1,16,16.00,0,0,0,,0
3,1973,8,1973-11-04,24-096,STL,,DEN,T 17-17,,0,0,,0,0,0,,0,0,0,,0,0,0,,,,2,42,21.00,0,0,0,,0
4,1973,9,1973-11-11,24-103,STL,@,GNB,L 21-25,,0,0,,0,0,0,,0,0,0,,0,0,0,,,,2,53,26.50,0,2,4,2.00,0
5,1973,10,1973-11-18,24-110,STL,@,NYG,L 13-24,,0,0,,0,0,0,,0,0,0,,0,0,0,,,,1,47,47.00,0,2,56,28.00,0
6,1973,11,1973-11-25,24-117,STL,@,CIN,L 24-42,,0,0,,0,0,0,,0,0,1,0.00,0,0,0,39.6,0.00,0.00,2,51,25.50,0,1,1,1.00,0
7,1973,12,1973-12-02,24-124,STL,,DET,L 16-20,,0,0,,0,0,0,,0,0,0,,0,0,0,,,,1,24,24.00,0,2,13,6.50,0
8,1973,13,1973-12-09,24-131,STL,@,ATL,W 32-10,,0,0,,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,3,6,2.00,0
9,1973,14,1973-12-16,24-138,STL,,DAL,L 3-30,,0,0,,0,0,0,,0,0,0,,0,0,0,,,,3,81,27.00,0,1,0,0.00,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD
10,1974,1,1974-09-15,25-046,STL,,PHI,W 7-3,,0,0,,0,0,0,,0,0,0,,0,0,0,,,,1,21,21.00,0,6,48,8.00,0
11,1974,4,1974-10-06,25-067,STL,@,SFO,W 34-9,,0,0,,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,3,8,2.67,0
12,1974,5,1974-10-13,25-074,STL,,DAL,W 31-28,,0,0,,0,0,0,,0,1,1,100.00,81,0,0,118.7,81.00,81.00,0,0,,0,0,0,,0
13,1974,7,1974-10-27,25-088,STL,,WAS,W 23-20,,0,0,,0,0,0,,0,0,0,,0,0,0,,,,1,20,20.00,0,0,0,,0
14,1974,8,1974-11-03,25-095,STL,@,DAL,L 14-17,,0,0,,0,0,0,,0,0,0,,0,0,0,,,,3,75,25.00,0,2,14,7.00,0
15,1974,9,1974-11-11,25-103,STL,,MIN,L 24-28,,1,9,9.00,0,0,0,,0,0,0,,0,0,0,,,,2,47,23.50,0,2,4,2.00,0
16,1974,12,1974-12-01,25-123,STL,,KAN,L 13-17,,1,5,5.00,0,0,0,,0,0,0,,0,0,0,,,,3,80,26.67,0,1,6,6.00,0
17,1974,13,1974-12-08,25-130,STL,@,NOR,L 0-14,,0,0,,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,3,45,15.00,0
18,1974,14,1974-12-15,25-137,STL,,NYG,W 26-14,,0,0,,0,0,0,,0,0,0,,0,0,0,,,,1,25,25.00,0,0,0,,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD
19,1975,2,1975-09-28,26-059,STL,@,DAL,L 31-37,,1,10,10.00,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0
20,1975,3,1975-10-05,26-066,STL,,NYG,W 26-14,,0,0,,0,0,0,,0,0,0,,0,0,0,,,,1,22,22.00,0,1,10,10.00,0
21,1975,4,1975-10-13,26-074,STL,@,WAS,L 17-27,,0,0,,0,0,0,,0,0,0,,0,0,0,,,,2,46,23.00,0,2,12,6.00,0
22,1975,5,1975-10-19,26-080,STL,,PHI,W 31-20,,0,0,,0,0,0,,0,0,0,,0,0,0,,,,2,41,20.50,0,0,0,,0
23,1975,7,1975-11-02,26-094,STL,,NWE,W 24-17,,1,-4,-4.00,0,0,0,,0,0,0,,0,0,0,,,,1,21,21.00,0,2,13,6.50,0
24,1975,8,1975-11-09,26-101,STL,@,PHI,W 24-23,,0,0,,0,0,0,,0,0,0,,0,0,0,,,,2,38,19.00,0,0,0,,0
25,1975,9,1975-11-16,26-108,STL,,WAS,W 20-17,,0,0,,0,0,0,,0,0,0,,0,0,0,,,,1,19,19.00,0,0,0,,0
26,1975,10,1975-11-23,26-115,STL,@,NYJ,W 37-6,,0,0,,0,3,13,4.33,0,0,0,,0,0,0,,,,1,4,4.00,0,1,0,0.00,0
27,1975,11,1975-11-27,26-119,STL,,BUF,L 14-32,,0,0,,0,0,0,,0,0,0,,0,0,0,,,,1,21,21.00,0,0,0,,0
28,1975,12,1975-12-07,26-129,STL,,DAL,W 31-17,,0,0,,0,0,0,,0,0,0,,0,0,0,,,,1,20,20.00,0,0,0,,0
29,1975,13,1975-12-14,26-136,STL,@,CHI,W 34-20,,0,0,,0,0,0,,0,0,0,,0,0,0,,,,1,22,22.00,0,2,5,2.50,0
30,1975,14,1975-12-21,26-143,STL,@,DET,W 24-13,,0,0,,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,1,30,30.00,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD
31,1976,1,1976-09-12,27-043,STL,@,SEA,W 30-24,,0,0,,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,3,16,5.33,0
32,1976,9,1976-11-07,27-099,STL,@,PHI,W 17-14,,1,5,5.00,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0
33,1976,10,1976-11-14,27-106,STL,@,RAM,W 30-28,,0,0,,0,0,0,,0,0,0,,0,0,0,,,,2,36,18.00,0,0,0,,0
,,,33 Games,,,,,18-14-1,,9,64,7.11,0,7,24,3.43,0,1,2,50.00,81,0,0,95.8,40.50,40.50,38,872,22.95,0,40,291,7.28,0
