
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD
1,1978,6,1978-10-08,23-330,DAL,,NYG,W 24-3,2,5,2.50,0,0,0,,0
2,1978,9,1978-10-26,23-348,DAL,,MIN,L 10-21,0,0,,0,2,51,25.50,0
3,1978,10,1978-11-05,23-358,DAL,@,MIA,L 16-23,0,0,,0,1,19,19.00,0
4,1978,11,1978-11-12,24-000,DAL,@,GNB,W 42-14,6,29,4.83,0,0,0,,0
5,1978,12,1978-11-19,24-007,DAL,,NOR,W 27-7,1,3,3.00,0,0,0,,0
,,,5 Games,,,,,3-2-0,9,37,4.11,0,3,70,23.33,0
