
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD
1,1999,4,1999-10-03,22-030,CIN,,STL,L 10-38,6,27,4.50,0,1,1,6,6.00,0
2,1999,5,1999-10-10,22-037,CIN,@,CLE,W 18-17,5,38,7.60,0,0,0,0,,0
3,1999,6,1999-10-17,22-044,CIN,,PIT,L 3-17,1,-1,-1.00,0,0,0,0,,0
4,1999,7,1999-10-24,22-051,CIN,@,IND,L 10-31,11,26,2.36,0,0,0,0,,0
5,1999,8,1999-10-31,22-058,CIN,,JAX,L 10-41,4,11,2.75,0,4,3,47,15.67,0
6,1999,9,1999-11-07,22-065,CIN,@,SEA,L 20-37,1,1,1.00,0,4,2,7,3.50,0
7,1999,10,1999-11-14,22-072,CIN,,TEN,L 14-24,,,,,0,,,,
8,1999,11,1999-11-21,22-079,CIN,,BAL,L 31-34,1,0,0.00,0,1,1,19,19.00,0
9,1999,12,1999-11-28,22-086,CIN,@,PIT,W 27-20,1,35,35.00,0,2,2,22,11.00,0
10,1999,13,1999-12-05,22-093,CIN,,SFO,W 44-30,0,0,,0,1,1,5,5.00,0
11,1999,14,1999-12-12,22-100,CIN,,CLE,W 44-28,12,44,3.67,0,1,1,4,4.00,0
12,1999,15,1999-12-26,22-114,CIN,@,BAL,L 0-22,10,41,4.10,0,2,2,4,2.00,0
13,1999,16,2000-01-02,22-121,CIN,@,JAX,L 7-24,10,86,8.60,0,3,3,58,19.33,0
,,,13 Games,,,,,4-9-0,62,308,4.97,0,19,16,172,10.75,0
