
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD
1,1984,1,1984-09-02,23-060,NYG,,PHI,W 28-27,0,0,,0,4,66,16.50,0
2,1984,2,1984-09-09,23-067,NYG,,DAL,W 28-7,0,0,,0,0,0,,0
3,1984,3,1984-09-16,23-074,NYG,@,WAS,L 14-30,0,0,,0,0,0,,0
4,1984,4,1984-09-23,23-081,NYG,,TAM,W 17-14,0,0,,0,0,0,,0
5,1984,5,1984-09-30,23-088,NYG,@,RAM,L 12-33,1,0,0.00,0,2,35,17.50,0
6,1984,6,1984-10-08,23-096,NYG,,SFO,L 10-31,0,0,,0,1,30,30.00,0
7,1984,7,1984-10-14,23-102,NYG,@,ATL,W 19-7,0,0,,0,0,0,,0
8,1984,8,1984-10-21,23-109,NYG,@,PHI,L 10-24,0,0,,0,0,0,,0
9,1984,9,1984-10-28,23-116,NYG,,WAS,W 37-13,2,2,1.00,0,0,0,,0
10,1984,10,1984-11-04,23-123,NYG,@,DAL,W 19-7,0,0,,0,0,0,,0
11,1984,11,1984-11-11,23-130,NYG,@,TAM,L 17-20,0,0,,0,0,0,,0
12,1984,12,1984-11-18,23-137,NYG,,STL,W 16-10,0,0,,0,0,0,,0
13,1984,13,1984-11-25,23-144,NYG,,KAN,W 28-27,0,0,,0,0,0,,0
14,1984,14,1984-12-02,23-151,NYG,@,NYJ,W 20-10,0,0,,0,2,47,23.50,0
15,1984,15,1984-12-09,23-158,NYG,@,STL,L 21-31,0,0,,0,0,0,,0
16,1984,16,1984-12-15,23-164,NYG,,NOR,L 3-10,0,0,,0,0,0,,0
,,,16 Games,,,,,9-7-0,3,2,0.67,0,9,178,19.78,0
