
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD
1,2010,2,2010-09-19,22-213,GNB,,BUF,W 34-7,2,6,3.00,0,0,0,0,,0
2,2010,4,2010-10-03,22-227,GNB,,DET,W 28-26,0,0,,0,,0,0,,0
3,2010,5,2010-10-10,22-234,GNB,@,WAS,L 13-16,,,,,,,,,
4,2010,6,2010-10-17,22-241,GNB,,MIA,L 20-23,,,,,,,,,
5,2010,7,2010-10-24,22-248,GNB,,MIN,W 28-24,,,,,1,,,,
6,2010,9,2010-11-07,22-262,GNB,,DAL,W 45-7,4,5,1.25,0,0,0,0,,0
7,2010,10,2010-11-21,22-276,GNB,@,MIN,W 31-3,12,37,3.08,0,0,0,0,,0
8,2010,11,2010-11-28,22-283,GNB,@,ATL,L 17-20,1,0,0.00,0,0,0,0,,0
9,2010,13,2010-12-12,22-297,GNB,@,DET,L 3-7,2,4,2.00,0,1,1,14,14.00,0
10,2010,14,2010-12-19,22-304,GNB,@,NWE,L 27-31,6,11,1.83,0,2,2,16,8.00,0
11,2010,15,2010-12-26,22-311,GNB,,NYG,W 45-17,9,32,3.56,0,0,0,0,,0
12,2010,16,2011-01-02,22-318,GNB,,CHI,W 10-3,,,,,,,,,
,,,12 Games,,,,,7-5-0,36,95,2.64,0,4,3,30,10.00,0
