
,,,,,,,,
Rk,Year,G#,Date,Age,Tm,,Opp,Result
1,2005,3,2005-09-25,25-074,IND,,CLE,W 13-6
2,2005,4,2005-10-02,25-081,IND,@,TEN,W 31-10
3,2005,16,2006-01-01,25-172,IND,,ARI,W 17-13
,,,3 Games,,,,,3-0-0
