
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD
1,1974,7,1974-10-27,23-035,SDG,,KAN,L 14-24,0,0,,0,4,108,27.00,0
2,1974,8,1974-11-03,23-042,SDG,,CLE,W 36-35,0,0,,0,2,40,20.00,0
3,1974,9,1974-11-10,23-049,SDG,@,KAN,W 14-7,0,0,,0,2,54,27.00,0
4,1974,10,1974-11-17,23-056,SDG,@,OAK,L 10-17,0,0,,0,3,40,13.33,0
5,1974,11,1974-11-24,23-063,SDG,@,GNB,L 0-34,4,16,4.00,0,0,0,,0
6,1974,13,1974-12-08,23-077,SDG,,CHI,W 28-21,1,-6,-6.00,0,1,0,0.00,0
7,1974,14,1974-12-15,23-084,SDG,,DEN,W 17-0,1,-2,-2.00,0,0,0,,0
,,,7 Games,,,,,4-3-0,6,8,1.33,0,12,242,20.17,0
