
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD
1,1974,1,1974-09-15,23-202,NOR,,SFO,L 13-17,3,21,7.00,0,,1,8,8.00,0
2,1974,2,1974-09-22,23-209,NOR,@,RAM,L 0-24,9,20,2.22,0,,0,0,,0
3,1974,3,1974-09-29,23-216,NOR,,ATL,W 14-13,18,60,3.33,0,,2,-2,-1.00,0
4,1974,4,1974-10-06,23-223,NOR,@,CHI,L 10-24,2,9,4.50,0,,0,0,,0
5,1974,5,1974-10-13,23-230,NOR,@,DEN,L 17-33,1,0,0.00,0,,0,0,,0
6,1974,9,1974-11-10,23-258,NOR,,MIA,L 0-21,0,0,,0,,1,7,7.00,0
,,,6 Games,,,,,1-5-0,33,110,3.33,0,,4,13,3.25,0
