
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
1,1960,1,1960-09-10,24-180,DTX,@,LAC,L 20-21,6,12,2.00,0,,2,10,5.00,0,0,0,,0
2,1960,2,1960-09-16,24-186,DTX,@,OAK,W 34-16,3,3,1.00,0,,0,0,,0,0,0,,0
3,1960,3,1960-09-25,24-195,DTX,,LAC,W 17-0,1,0,0.00,0,,1,-5,-5.00,0,0,0,,0
4,1960,4,1960-10-02,24-202,DTX,,NYT,L 35-37,0,0,,0,,1,32,32.00,0,1,36,36.00,0
,,,4 Games,,,,,2-2-0,10,15,1.50,0,,4,37,9.25,0,1,36,36.00,0
