
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD
1,2005,12,2005-12-04,24-273,JAX,@,CLE,W 20-14,,,,,,,,
2,2005,13,2005-12-11,24-280,JAX,,IND,L 18-26,0,0,,0,1,31,31.00,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD
3,2006,8,2006-11-05,25-244,JAX,,TEN,W 37-7,3,5,1.67,0,0,0,,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD
4,2007,16,2007-12-30,26-299,STL,@,ARI,L 19-48,,,,,,,,
,,,4 Games,,,,,2-2-0,3,5,1.67,0,1,31,31.00,0
