
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1992,1,1992-09-06,23-020,PHO,@,TAM,L 7-23,4,0,0.00,0,,0,0,,0,0,0
2,1992,2,1992-09-13,23-027,PHO,,PHI,L 14-31,9,16,1.78,0,,2,7,3.50,0,0,0
3,1992,3,1992-09-20,23-034,PHO,@,DAL,L 20-31,12,31,2.58,1,,2,31,15.50,0,1,6
4,1992,4,1992-10-04,23-048,PHO,,WAS,W 27-24,10,48,4.80,1,,2,12,6.00,0,1,6
5,1992,5,1992-10-11,23-055,PHO,@,NYG,L 21-31,15,47,3.13,0,,0,0,,0,0,0
6,1992,6,1992-10-18,23-062,PHO,,NOR,L 21-30,2,2,1.00,0,,1,4,4.00,0,0,0
7,1992,12,1992-11-29,23-104,PHO,@,WAS,L 3-41,16,50,3.13,0,,0,0,,0,0,0
,,,7 Games,,,,,1-6-0,68,194,2.85,2,,7,54,7.71,0,2,12
