
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD
1,2007,8,2007-10-28,23-180,TAM,,JAX,L 23-24,0,,,,
2,2007,9,2007-11-04,23-187,TAM,,ARI,W 17-10,,,,,
3,2007,10,2007-11-18,23-201,TAM,@,ATL,W 31-7,1,1,2,2.00,0
4,2007,11,2007-11-25,23-208,TAM,,WAS,W 19-13,0,0,0,,0
5,2007,12,2007-12-02,23-215,TAM,@,NOR,W 27-23,,0,0,,0
6,2007,13,2007-12-09,23-222,TAM,@,HOU,L 14-28,,0,0,,0
7,2007,14,2007-12-16,23-229,TAM,,ATL,W 37-3,1,1,1,1.00,0
8,2007,15,2007-12-23,23-236,TAM,@,SFO,L 19-21,1,0,0,,0
9,2007,16,2007-12-30,23-243,TAM,,CAR,L 23-31,,0,0,,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD
10,2008,1,2008-09-07,24-129,TAM,@,NOR,L 20-24,0,0,0,,0
11,2008,2,2008-09-14,24-136,TAM,,ATL,W 24-9,0,0,0,,0
12,2008,3,2008-09-21,24-143,TAM,@,CHI,W 27-24,0,,,,
13,2008,4,2008-09-28,24-150,TAM,,GNB,W 30-21,0,0,0,,0
14,2008,5,2008-10-05,24-157,TAM,@,DEN,L 13-16,,,,,
15,2008,6,2008-10-12,24-164,TAM,,CAR,W 27-3,,,,,
,,,15 Games,,,,,9-6-0,3,2,3,1.50,0
