
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
1,1989,1,1989-09-10,22-298,IND,,SFO,L 24-30,0,0,,0,,0,0,,0,4,58,14.50,0
2,1989,2,1989-09-17,22-305,IND,@,RAM,L 17-31,0,0,,0,,,,,,0,0,,0
3,1989,3,1989-09-24,22-312,IND,,ATL,W 13-9,0,0,,0,,,,,,0,0,,0
4,1989,4,1989-10-01,22-319,IND,@,NYJ,W 17-10,0,0,,0,,,,,,0,0,,0
5,1989,5,1989-10-08,22-326,IND,,BUF,W 37-14,0,0,,0,,,,,,0,0,,0
6,1989,6,1989-10-15,22-333,IND,@,DEN,L 3-14,0,0,,0,,,,,,0,0,,0
7,1989,7,1989-10-22,22-340,IND,@,CIN,W 23-12,0,0,,0,,,,,,0,0,,0
8,1989,8,1989-10-29,22-347,IND,,NWE,L 20-23,3,18,6.00,0,,0,0,,0,0,0,,0
9,1989,9,1989-11-05,22-354,IND,@,MIA,L 13-19,0,0,,0,,,,,,0,0,,0
10,1989,10,1989-11-12,22-361,IND,@,BUF,L 7-30,0,0,,0,,,,,,0,0,,0
11,1989,11,1989-11-19,23-003,IND,,NYJ,W 27-10,0,0,,0,,,,,,0,0,,0
12,1989,12,1989-11-26,23-010,IND,,SDG,W 10-6,0,0,,0,,,,,,0,0,,0
13,1989,13,1989-12-03,23-017,IND,@,NWE,L 16-22,3,4,1.33,0,,0,0,,0,0,0,,0
14,1989,14,1989-12-10,23-024,IND,,CLE,W 23-17,0,0,,0,,,,,,0,0,,0
15,1989,15,1989-12-17,23-031,IND,,MIA,W 42-13,4,11,2.75,0,,0,0,,0,0,0,,0
16,1989,16,1989-12-24,23-038,IND,@,NOR,L 6-41,3,14,4.67,0,,0,0,,0,0,0,,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
17,1991,1,1991-09-01,24-289,NWE,@,IND,W 16-7,0,0,,0,,0,0,,0,,,,
18,1991,2,1991-09-08,24-296,NWE,,CLE,L 0-20,3,7,2.33,0,,1,2,2.00,0,0,0,,0
19,1991,3,1991-09-15,24-303,NWE,@,PIT,L 6-20,3,6,2.00,0,,1,3,3.00,0,0,0,,0
20,1991,4,1991-09-22,24-310,NWE,,HOU,W 24-20,1,2,2.00,0,,1,7,7.00,0,0,0,,0
21,1991,5,1991-09-29,24-317,NWE,@,PHO,L 10-24,0,0,,0,,1,9,9.00,0,0,0,,0
22,1991,6,1991-10-06,24-324,NWE,,MIA,L 10-20,1,9,9.00,0,,1,13,13.00,0,0,0,,0
23,1991,7,1991-10-20,24-338,NWE,,MIN,W 26-23,1,1,1.00,0,,0,0,,0,0,0,,0
24,1991,8,1991-10-27,24-345,NWE,,DEN,L 6-9,1,3,3.00,0,,1,7,7.00,0,0,0,,0
25,1991,9,1991-11-03,24-352,NWE,@,BUF,L 17-22,3,12,4.00,0,,2,16,8.00,0,0,0,,0
26,1991,10,1991-11-10,24-359,NWE,@,MIA,L 20-30,3,9,3.00,0,,3,40,13.33,0,0,0,,0
27,1991,11,1991-11-17,25-001,NWE,,NYJ,L 21-28,0,0,,0,,0,0,,0,,,,
28,1991,12,1991-11-24,25-008,NWE,,BUF,W 16-13,1,2,2.00,0,,0,0,,0,0,0,,0
29,1991,13,1991-12-01,25-015,NWE,@,DEN,L 3-20,1,2,2.00,0,,0,0,,0,0,0,,0
,,,29 Games,,,,,12-17-0,31,100,3.23,0,,11,97,8.82,0,4,58,14.50,0
