
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD
1,1982,2,1982-09-19,24-006,BAL,@,MIA,L 20-24,1,3,3.00,0,,0,0,,0
2,1982,3,1982-11-21,24-069,BAL,@,NYJ,L 0-37,0,0,,0,,1,12,12.00,0
3,1982,4,1982-11-28,24-076,BAL,@,BUF,L 0-20,0,0,,0,,0,0,,0
4,1982,5,1982-12-05,24-083,BAL,,CIN,L 17-20,0,0,,0,,0,0,,0
5,1982,6,1982-12-12,24-090,BAL,@,MIN,L 10-13,0,0,,0,,0,0,,0
6,1982,8,1982-12-26,24-104,BAL,@,SDG,L 26-44,0,0,,0,,0,0,,0
7,1982,9,1983-01-02,24-111,BAL,,MIA,L 7-34,0,0,,0,,0,0,,0
,,,7 Games,,,,,0-7-0,1,3,3.00,0,,1,12,12.00,0
