
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1993,1,1993-09-06,23-223,DAL,@,WAS,L 16-35,16,75,4.69,0,5,3,9,3.00,0,0,0
2,1993,2,1993-09-12,23-229,DAL,,BUF,L 10-13,19,52,2.74,0,3,3,21,7.00,0,0,0
3,1993,3,1993-09-19,23-236,DAL,@,PHO,W 17-10,14,60,4.29,2,,0,0,,0,2,12
4,1993,4,1993-10-03,23-250,DAL,,GNB,W 36-14,8,15,1.88,1,1,0,0,,0,1,6
5,1993,5,1993-10-10,23-257,DAL,@,IND,W 27-3,5,23,4.60,0,,0,0,,0,0,0
6,1993,7,1993-10-31,23-278,DAL,@,PHI,W 23-10,0,0,,0,,0,0,,0,,
7,1993,8,1993-11-07,23-285,DAL,,NYG,W 31-9,1,0,0.00,0,,0,0,,0,0,0
8,1993,9,1993-11-14,23-292,DAL,,PHO,W 20-15,3,8,2.67,0,,0,0,,0,0,0
9,1993,10,1993-11-21,23-299,DAL,@,ATL,L 14-27,9,36,4.00,0,4,3,7,2.33,0,0,0
10,1993,13,1993-12-12,23-320,DAL,@,MIN,W 37-20,0,0,,0,,0,0,,0,,
,,,10 Games,,,,,7-3-0,75,269,3.59,3,13,9,37,4.11,0,3,18
