
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1975,3,1975-10-05,22-238,KAN,,SFO,L 3-20,7,18,2.57,0,,1,-1,-1.00,0,0,0
2,1975,4,1975-10-12,22-245,KAN,,OAK,W 42-10,6,20,3.33,1,,0,0,,0,1,6
,,,2 Games,,,,,1-1-0,13,38,2.92,1,,1,-1,-1.00,0,1,6
