
,,,,,,,,,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Rt,Yds,Y/Rt,TD
1,1981,1,1981-09-06,23-083,RAM,,HOU,L 20-27,0,0,,0
2,1981,2,1981-09-13,23-090,RAM,@,NOR,L 17-23,0,0,,0
3,1981,3,1981-09-20,23-097,RAM,,GNB,W 35-23,0,0,,0
4,1981,4,1981-09-28,23-105,RAM,@,CHI,W 24-7,0,0,,0
5,1981,5,1981-10-04,23-111,RAM,,CLE,W 27-16,0,0,,0
6,1981,6,1981-10-11,23-118,RAM,@,ATL,W 37-35,0,0,,0
7,1981,7,1981-10-18,23-125,RAM,@,DAL,L 17-29,0,0,,0
8,1981,8,1981-10-25,23-132,RAM,@,SFO,L 17-20,0,0,,0
9,1981,9,1981-11-01,23-139,RAM,,DET,W 20-13,0,0,,0
10,1981,10,1981-11-08,23-146,RAM,,NOR,L 13-21,0,0,,0
11,1981,11,1981-11-15,23-153,RAM,@,CIN,L 10-24,0,0,,0
12,1981,12,1981-11-22,23-160,RAM,,SFO,L 31-33,0,0,,0
13,1981,13,1981-11-29,23-167,RAM,@,PIT,L 0-24,0,0,,0
14,1981,14,1981-12-06,23-174,RAM,@,NYG,L 7-10,1,1,1.00,0
15,1981,15,1981-12-14,23-182,RAM,,ATL,W 21-16,0,0,,0
16,1981,16,1981-12-20,23-188,RAM,,WAS,L 7-30,0,0,,0
,,,16 Games,,,,,6-10-0,1,1,1.00,0
