
,,,,,,,,,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Rt,Yds,Y/Rt,TD
1,2003,1,2003-09-07,23-140,IND,@,CLE,W 9-6,1,6,6.00,0
2,2003,7,2003-10-26,23-189,IND,,HOU,W 30-21,,,,
3,2003,8,2003-11-02,23-196,IND,@,MIA,W 23-17,,,,
4,2003,9,2003-11-09,23-203,IND,@,JAX,L 23-28,,,,
,,,4 Games,,,,,3-1-0,1,6,6.00,0
