
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD
1,1983,1,1983-09-04,24-117,BAL,@,NWE,W 29-23,0,0,,0,,0,0,,0
2,1983,2,1983-09-11,24-124,BAL,,DEN,L 10-17,2,7,3.50,0,,0,0,,0
3,1983,3,1983-09-18,24-131,BAL,@,BUF,L 23-28,1,1,1.00,0,,0,0,,0
4,1983,4,1983-09-25,24-138,BAL,,CHI,W 22-19,4,3,0.75,0,,0,0,,0
5,1983,5,1983-10-02,24-145,BAL,@,CIN,W 34-31,1,3,3.00,0,,0,0,,0
6,1983,6,1983-10-09,24-152,BAL,,NWE,W 12-7,2,5,2.50,0,,0,0,,0
7,1983,7,1983-10-16,24-159,BAL,,BUF,L 7-30,3,7,2.33,0,,1,7,7.00,0
8,1983,8,1983-10-23,24-166,BAL,,MIA,L 7-21,0,0,,0,,0,0,,0
9,1983,9,1983-10-30,24-173,BAL,@,PHI,W 22-21,1,2,2.00,0,,0,0,,0
10,1983,10,1983-11-06,24-180,BAL,@,NYJ,W 17-14,1,7,7.00,0,,0,0,,0
11,1983,11,1983-11-13,24-187,BAL,,PIT,L 13-24,0,0,,0,,0,0,,0
12,1983,12,1983-11-20,24-194,BAL,@,MIA,L 0-37,2,0,0.00,0,,0,0,,0
13,1983,13,1983-11-27,24-201,BAL,@,CLE,L 23-41,6,36,6.00,0,,2,32,16.00,0
14,1983,14,1983-12-04,24-208,BAL,,NYJ,L 6-10,3,2,0.67,0,,1,7,7.00,0
15,1983,15,1983-12-11,24-215,BAL,@,DEN,L 19-21,2,4,2.00,0,,0,0,,0
16,1983,16,1983-12-18,24-222,BAL,,HOU,W 20-10,0,0,,0,,0,0,,0
,,,16 Games,,,,,7-9-0,28,77,2.75,0,,4,46,11.50,0
