
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts
1,1964,2,1964-09-20,22-297,BOS,@,SDG,W 33-28,5,9,1.80,0,,1,7,7.00,0,1,42,42.00,0,0,0,,0,0,0
2,1964,3,1964-09-27,22-304,BOS,,NYJ,W 26-10,4,-3,-0.75,0,,0,0,,0,3,67,22.33,0,0,0,,0,0,0
3,1964,4,1964-10-04,22-311,BOS,@,DEN,W 39-10,12,121,10.08,1,,3,56,18.67,0,1,20,20.00,0,1,0,0.00,0,1,6
4,1964,5,1964-10-09,22-316,BOS,,SDG,L 17-26,0,0,,0,,0,0,,0,5,110,22.00,0,0,0,,0,0,0
5,1964,6,1964-10-16,22-323,BOS,,OAK,T 43-43,1,15,15.00,0,,2,27,13.50,0,6,141,23.50,0,0,0,,0,0,0
6,1964,7,1964-10-23,22-330,BOS,,KAN,W 24-7,5,15,3.00,0,,0,0,,0,1,29,29.00,0,0,0,,0,0,0
7,1964,8,1964-10-31,22-338,BOS,@,NYJ,L 14-35,2,7,3.50,0,,0,0,,0,6,138,23.00,0,0,0,,0,0,0
8,1964,9,1964-11-06,22-344,BOS,,HOU,W 25-24,0,0,,0,,0,0,,0,3,54,18.00,0,0,0,,0,0,0
9,1964,10,1964-11-15,22-353,BOS,@,BUF,W 36-28,2,5,2.50,0,,0,0,,0,1,29,29.00,0,0,0,,0,0,0
10,1964,11,1964-11-20,22-358,BOS,,DEN,W 12-7,9,25,2.78,0,,0,0,,0,0,0,,0,1,28,28.00,0,0,0
11,1964,12,1964-11-29,23-001,BOS,@,HOU,W 34-17,8,30,3.75,0,,0,0,,0,2,44,22.00,0,0,0,,0,0,0
12,1964,13,1964-12-06,23-008,BOS,@,KAN,W 31-24,6,38,6.33,1,,2,11,5.50,0,2,51,25.50,0,0,0,,0,1,6
13,1964,14,1964-12-20,23-022,BOS,,BUF,L 14-24,2,3,1.50,0,,0,0,,0,1,24,24.00,0,0,0,,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts
14,1965,1,1965-09-11,23-287,BOS,@,BUF,L 7-24,3,6,2.00,0,,1,7,7.00,0,0,0,,0,0,0,,0,0,0
15,1965,2,1965-09-19,23-295,BOS,@,HOU,L 10-31,0,0,,0,,0,0,,0,2,45,22.50,0,0,0,,0,0,0
16,1965,7,1965-10-24,23-330,BOS,@,OAK,L 21-30,2,-1,-0.50,0,,0,0,,0,0,0,,0,0,0,,0,0,0
17,1965,8,1965-10-31,23-337,BOS,@,SDG,W 22-6,2,7,3.50,0,,0,0,,0,1,21,21.00,0,0,0,,0,0,0
18,1965,9,1965-11-07,23-344,BOS,,BUF,L 7-23,1,1,1.00,1,,1,5,5.00,0,6,107,17.83,0,0,0,,0,1,6
19,1965,10,1965-11-14,23-351,BOS,,NYJ,L 20-30,8,8,1.00,0,,2,6,3.00,1,2,38,19.00,0,0,0,,0,1,6
20,1965,11,1965-11-21,23-358,BOS,,KAN,T 10-10,9,34,3.78,0,,2,25,12.50,1,0,0,,0,0,0,,0,1,6
21,1965,12,1965-11-28,24-000,BOS,@,NYJ,W 27-23,6,16,2.67,0,,0,0,,0,0,0,,0,0,0,,0,0,0
22,1965,13,1965-12-12,24-014,BOS,@,DEN,W 28-20,5,37,7.40,0,,1,6,6.00,0,0,0,,0,0,0,,0,0,0
23,1965,14,1965-12-18,24-020,BOS,,HOU,W 42-14,4,43,10.75,0,,0,0,,0,1,21,21.00,0,1,19,19.00,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts
24,1966,1,1966-09-10,24-286,BOS,@,SDG,L 0-24,2,9,4.50,0,,1,7,7.00,0,0,0,,0,0,0,,0,0,0
25,1966,4,1966-10-02,24-308,BOS,,NYJ,T 24-24,3,0,0.00,0,,0,0,,0,0,0,,0,0,0,,0,0,0
26,1966,6,1966-10-23,24-329,BOS,,SDG,W 35-17,5,12,2.40,0,,0,0,,0,0,0,,0,0,0,,0,0,0
27,1966,13,1966-12-11,25-013,BOS,@,HOU,W 38-14,3,0,0.00,0,,0,0,,0,0,0,,0,0,0,,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring
