
,,,,,,,,,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD
1,2002,1,2002-09-08,23-018,STL,@,DEN,L 16-23,,,,
2,2002,2,2002-09-15,23-025,STL,,NYG,L 21-26,,,,
3,2002,3,2002-09-23,23-033,STL,@,TAM,L 14-26,,,,
4,2002,4,2002-09-29,23-039,STL,,DAL,L 10-13,,,,
5,2002,5,2002-10-06,23-046,STL,@,SFO,L 13-37,,,,
6,2002,6,2002-10-13,23-053,STL,,OAK,W 28-13,,,,
7,2002,7,2002-10-20,23-060,STL,,SEA,W 37-20,,,,
8,2002,8,2002-11-03,23-074,STL,@,ARI,W 27-14,,,,
9,2002,9,2002-11-10,23-081,STL,,SDG,W 28-24,,,,
10,2002,10,2002-11-18,23-089,STL,,CHI,W 21-16,,,,
11,2002,11,2002-11-24,23-095,STL,@,WAS,L 17-20,,,,
12,2002,12,2002-12-01,23-102,STL,@,PHI,L 3-10,,,,
13,2002,13,2002-12-08,23-109,STL,@,KAN,L 10-49,,,,
14,2002,14,2002-12-15,23-116,STL,,ARI,W 30-28,,,,
15,2002,15,2002-12-22,23-123,STL,@,SEA,L 10-30,,,,
16,2002,16,2002-12-30,23-131,STL,,SFO,W 31-20,,,,
,,,,,,,,,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD
17,2003,1,2003-09-07,24-017,STL,@,NYG,L 13-23,,,,
18,2003,2,2003-09-14,24-024,STL,,SFO,W 27-24,,,,
19,2003,3,2003-09-21,24-031,STL,@,SEA,L 23-24,,,,
20,2003,4,2003-09-28,24-038,STL,,ARI,W 37-13,1,-1,-1.00,0
21,2003,5,2003-10-13,24-053,STL,,ATL,W 36-0,,,,
22,2003,6,2003-10-19,24-059,STL,,GNB,W 34-24,,,,
23,2003,7,2003-10-26,24-066,STL,@,PIT,W 33-21,,,,
24,2003,8,2003-11-02,24-073,STL,@,SFO,L 10-30,,,,
