
,,,,,,,,,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD
1,1980,1,1980-09-07,23-071,SDG,@,SEA,W 34-13,1,-1,-1.00,0
2,1980,3,1980-09-21,23-085,SDG,@,DEN,W 30-13,1,-2,-2.00,0
3,1980,4,1980-09-28,23-092,SDG,@,KAN,W 24-7,2,-4,-2.00,0
,,,3 Games,,,,,3-0-0,4,-7,-1.75,0
