
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD
1,1987,3,1987-10-04,24-213,PHI,,CHI,L 3-35,11,58,5.27,0,,0,0,,0
2,1987,4,1987-10-11,24-220,PHI,@,DAL,L 22-41,2,6,3.00,0,,0,0,,0
3,1987,5,1987-10-18,24-227,PHI,@,GNB,L 10-16,11,50,4.55,0,,2,9,4.50,0
,,,3 Games,,,,,0-3-0,24,114,4.75,0,,2,9,4.50,0
