
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD
1,1987,4,1987-10-11,26-286,MIN,@,CHI,L 7-27,4,13,3.25,0,,0,0,,0
2,1987,5,1987-10-18,26-293,MIN,@,TAM,L 10-20,1,3,3.00,0,,2,14,7.00,0
,,,2 Games,,,,,0-2-0,5,16,3.20,0,,2,14,7.00,0
