
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD
1,2011,2,2011-09-18,24-027,SEA,@,PIT,L 0-24,0,0,,0,1,1,17,17.00,0
2,2011,3,2011-09-25,24-034,SEA,,ARI,W 13-10,2,2,1.00,0,0,0,0,,0
3,2011,4,2011-10-02,24-041,SEA,,ATL,L 28-30,,,,,,,,,
4,2011,10,2011-11-20,24-090,CHI,,SDG,W 31-20,,,,,0,,,,
5,2011,11,2011-11-27,24-097,CHI,@,OAK,L 20-25,,,,,,,,,
6,2011,12,2011-12-04,24-104,CHI,,KAN,L 3-10,,,,,,,,,
7,2011,13,2011-12-11,24-111,CHI,@,DEN,L 10-13,,,,,,,,,
8,2011,15,2011-12-24,24-124,CLE,@,BAL,L 14-20,,,,,,,,,
9,2011,15,2011-12-25,24-125,CHI,@,GNB,L 21-35,,,,,,,,,
,,,9 Games,,,,,2-7-0,2,2,1.00,0,1,1,17,17.00,0
