
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1987,4,1987-10-11,25-312,ATL,,SFO,L 17-25,,3,19,6.33,1,1,6
2,1987,5,1987-10-18,25-319,ATL,,RAM,W 24-20,,4,32,8.00,0,0,0
,,,2 Games,,,,,1-1-0,,7,51,7.29,1,1,6
