
,,,,,,,,,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Rt,Yds,Y/Rt,TD
1,1986,15,1986-12-13,22-049,WAS,@,DEN,L 30-31,4,83,20.75,0
2,1986,16,1986-12-21,22-057,WAS,@,PHI,W 21-14,3,59,19.67,0
,,,2 Games,,,,,1-1-0,7,142,20.29,0
