
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Int,Yds,TD
1,1966,5,1966-10-16,24-033,CHI,,GNB,L 0-17,,,,,0,28,,0,,,
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Int,Yds,TD
2,1967,7,1967-10-29,25-046,CHI,,RAM,L 17-28,0,0,,0,1,17,17.00,0,0,0,0
3,1967,9,1967-11-12,25-060,CHI,,NYG,W 34-7,0,0,,0,1,17,17.00,0,0,0,0
4,1967,10,1967-11-19,25-067,CHI,,STL,W 30-3,0,0,,0,0,0,,0,1,23,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Int,Yds,TD
5,1968,7,1968-10-20,26-037,BUF,@,BOS,L 6-23,0,0,,0,2,44,22.00,0,0,0,0
6,1968,8,1968-10-27,26-044,BUF,,HOU,L 7-30,0,0,,0,3,63,21.00,0,0,0,0
7,1968,9,1968-11-03,26-051,BUF,@,NYJ,L 21-25,0,0,,0,3,57,19.00,0,0,0,0
8,1968,13,1968-11-28,26-076,BUF,@,OAK,L 10-13,0,0,,0,1,22,22.00,0,0,0,0
9,1968,14,1968-12-07,26-085,BUF,@,HOU,L 6-35,3,39,13.00,0,3,88,29.33,0,0,0,0
,,,9 Games,,,,,2-7-0,3,39,13.00,0,14,336,24.00,0,1,23,0
