
,,,,,,,,,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD
1,1975,1,1975-09-21,26-298,KAN,@,DEN,L 33-37,4,89,22.25,0,1,5,5.00,0
2,1975,2,1975-09-28,26-305,KAN,,NYJ,L 24-30,5,155,31.00,0,0,0,,0
3,1975,7,1975-11-02,26-340,KAN,,HOU,L 13-17,3,40,13.33,0,3,38,12.67,0
4,1975,8,1975-11-10,26-348,KAN,@,DAL,W 34-31,6,124,20.67,0,1,23,23.00,0
5,1975,9,1975-11-16,26-354,KAN,@,PIT,L 3-28,1,31,31.00,0,2,28,14.00,0
6,1975,10,1975-11-23,26-361,KAN,,DET,W 24-21,1,23,23.00,0,3,14,4.67,0
7,1975,11,1975-11-30,27-003,KAN,@,BAL,L 14-28,2,54,27.00,0,2,4,2.00,0
,,,7 Games,,,,,2-5-0,22,516,23.45,0,12,112,9.33,0
