
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,TD,Pts
1,1989,10,1989-11-12,22-265,NWE,,NOR,L 24-28,0,0,,0,0,0,,0,,
2,1989,11,1989-11-19,22-272,NWE,,BUF,W 33-24,2,18,9.00,1,0,0,,0,1,6
3,1989,12,1989-11-26,22-279,NWE,@,RAI,L 21-24,1,2,2.00,0,0,0,,0,0,0
4,1989,13,1989-12-03,22-286,NWE,,IND,W 22-16,0,0,,0,0,0,,0,,
5,1989,14,1989-12-10,22-293,NWE,@,MIA,L 10-31,0,0,,0,0,0,,0,,
6,1989,15,1989-12-17,22-300,NWE,@,PIT,L 10-28,0,0,,0,2,26,13.00,0,0,0
7,1989,16,1989-12-24,22-307,NWE,,RAM,L 20-24,0,0,,0,0,0,,0,,
,,,7 Games,,,,,2-5-0,3,20,6.67,1,2,26,13.00,0,1,6
