
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD
1,1961,1,1961-09-17,23-167,WAS,@,SFO,L 3-35,1,0,0.00,0,3,63,21.00,0,0,0,,0
2,1961,2,1961-09-24,23-174,WAS,@,PHI,L 7-14,2,1,0.50,0,1,14,14.00,0,1,0,0.00,0
,,,2 Games,,,,,0-2-0,3,1,0.33,0,4,77,19.25,0,1,0,0.00,0
