
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1995,1,1995-09-03,23-039,JAX,,HOU,L 3-10,3,2,0.67,0,1,1,-1,-1.00,0,0,0
2,1995,2,1995-09-10,23-046,JAX,@,CIN,L 17-24,0,0,,0,,0,0,,0,,
3,1995,3,1995-09-17,23-053,JAX,@,NYJ,L 10-27,2,7,3.50,0,0,0,0,,0,0,0
4,1995,4,1995-09-24,23-060,JAX,,GNB,L 14-24,4,1,0.25,0,0,0,0,,0,0,0
5,1995,5,1995-10-01,23-067,JAX,@,HOU,W 17-16,5,11,2.20,1,0,0,0,,0,1,6
6,1995,6,1995-10-08,23-074,JAX,,PIT,W 20-16,0,0,,0,0,0,0,,0,,
7,1995,7,1995-10-15,23-081,JAX,,CHI,L 27-30,1,1,1.00,0,0,0,0,,0,0,0
8,1995,10,1995-11-12,23-109,JAX,,SEA,L 30-47,0,0,,0,0,0,0,,0,,
9,1995,11,1995-11-19,23-116,JAX,@,TAM,L 16-17,0,0,,0,,0,0,,0,,
10,1995,12,1995-11-26,23-123,JAX,,CIN,L 13-17,1,-6,-6.00,0,0,0,0,,0,0,0
11,1995,15,1995-12-17,23-144,JAX,@,DET,L 0-44,0,0,,0,0,0,0,,0,,
,,,11 Games,,,,,2-9-0,16,16,1.00,1,1,1,-1,-1.00,0,1,6
